  alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  54.500   0.6094   0.49961   0.49671  -0.1917   0.0175   1.0000
  54.750   0.6067   0.49980   0.49693  -0.1928   0.0171   1.0000
  55.000   0.6040   0.49993   0.49709  -0.1939   0.0168   1.0000
  55.250   0.6012   0.50002   0.49722  -0.1950   0.0165   1.0000
  55.500   0.5983   0.50013   0.49736  -0.1960   0.0163   1.0000
  56.500   0.5867   0.50040   0.49775  -0.2001   0.0159   1.0000
  56.750   0.5837   0.50031   0.49769  -0.2012   0.0157   1.0000
  57.000   0.5807   0.50016   0.49758  -0.2022   0.0154   1.0000
  57.250   0.5776   0.49994   0.49739  -0.2032   0.0151   1.0000
  57.500   0.5745   0.49967   0.49714  -0.2042   0.0149   1.0000
  57.750   0.5714   0.49933   0.49683  -0.2052   0.0146   1.0000
  58.000   0.5682   0.49892   0.49646  -0.2061   0.0143   1.0000
  58.250   0.5650   0.49847   0.49604  -0.2071   0.0141   1.0000
  58.500   0.5617   0.49796   0.49556  -0.2081   0.0139   1.0000
  60.000   0.5416   0.49474   0.49251  -0.2137   0.0131   1.0000
  60.250   0.5382   0.49400   0.49181  -0.2146   0.0129   1.0000
  60.500   0.5347   0.49318   0.49102  -0.2155   0.0127   1.0000
  60.750   0.5312   0.49235   0.49021  -0.2164   0.0124   1.0000
  61.000   0.5276   0.49144   0.48933  -0.2173   0.0122   1.0000
  61.250   0.5241   0.49048   0.48839  -0.2182   0.0120   1.0000
  61.500   0.5205   0.48946   0.48740  -0.2190   0.0118   1.0000
  61.750   0.5169   0.48839   0.48636  -0.2199   0.0116   1.0000
  62.000   0.5132   0.48730   0.48530  -0.2208   0.0114   1.0000
  63.000   0.4984   0.48306   0.48116  -0.2241   0.0110   1.0000
  63.250   0.4947   0.48181   0.47994  -0.2249   0.0109   1.0000
  63.500   0.4909   0.48052   0.47867  -0.2257   0.0108   1.0000
  63.750   0.4871   0.47923   0.47741  -0.2265   0.0106   1.0000
  64.000   0.4833   0.47786   0.47607  -0.2273   0.0104   1.0000
  64.250   0.4795   0.47643   0.47466  -0.2280   0.0102   1.0000
  64.500   0.4756   0.47496   0.47321  -0.2288   0.0100   1.0000
  64.750   0.4718   0.47342   0.47171  -0.2296   0.0098   1.0000
  65.000   0.4679   0.47187   0.47018  -0.2304   0.0096   1.0000
  65.250   0.4640   0.47026   0.46859  -0.2311   0.0094   1.0000
  65.500   0.4600   0.46863   0.46699  -0.2319   0.0092   1.0000
  66.500   0.4442   0.46232   0.46076  -0.2347   0.0090   1.0000
  66.750   0.4402   0.46058   0.45905  -0.2353   0.0089   1.0000
  67.000   0.4362   0.45882   0.45731  -0.2360   0.0087   1.0000
  67.250   0.4322   0.45699   0.45550  -0.2367   0.0086   1.0000
  67.500   0.4281   0.45514   0.45367  -0.2374   0.0084   1.0000
  67.750   0.4241   0.45324   0.45179  -0.2380   0.0082   1.0000
  68.000   0.4200   0.45131   0.44989  -0.2387   0.0081   1.0000
  68.250   0.4160   0.44935   0.44795  -0.2393   0.0079   1.0000
  68.500   0.4119   0.44734   0.44596  -0.2399   0.0077   1.0000
  68.750   0.4078   0.44528   0.44392  -0.2406   0.0076   1.0000
  69.000   0.4037   0.44322   0.44188  -0.2412   0.0074   1.0000
  70.250   0.3831   0.43309   0.43184  -0.2441   0.0071   1.0000
  70.500   0.3789   0.43093   0.42970  -0.2446   0.0070   1.0000
  70.750   0.3748   0.42871   0.42750  -0.2451   0.0069   1.0000
  71.000   0.3707   0.42651   0.42532  -0.2457   0.0067   1.0000
  71.250   0.3665   0.42423   0.42306  -0.2462   0.0066   1.0000
  71.500   0.3624   0.42199   0.42084  -0.2467   0.0064   1.0000
  71.750   0.3582   0.41966   0.41853  -0.2472   0.0063   1.0000
  72.000   0.3540   0.41730   0.41619  -0.2477   0.0061   1.0000
  72.250   0.3499   0.41492   0.41382  -0.2482   0.0060   1.0000
  72.500   0.3457   0.41255   0.41146  -0.2487   0.0058   1.0000
  72.750   0.3415   0.41016   0.40910  -0.2492   0.0057   1.0000
  73.750   0.3248   0.40093   0.39992  -0.2510   0.0055   1.0000
  74.000   0.3206   0.39848   0.39748  -0.2514   0.0054   1.0000
  74.250   0.3165   0.39603   0.39505  -0.2518   0.0053   1.0000
  74.500   0.3123   0.39353   0.39256  -0.2522   0.0052   1.0000
  74.750   0.3081   0.39104   0.39008  -0.2526   0.0051   1.0000
  75.000   0.3040   0.38850   0.38757  -0.2530   0.0050   1.0000
  75.250   0.2998   0.38600   0.38507  -0.2534   0.0048   1.0000
  75.500   0.2957   0.38345   0.38254  -0.2537   0.0047   1.0000
  75.750   0.2915   0.38088   0.37998  -0.2541   0.0046   1.0000
  76.000   0.2874   0.37830   0.37741  -0.2545   0.0045   1.0000
  76.250   0.2832   0.37571   0.37484  -0.2548   0.0043   1.0000
